X Y R G B
3.872166398718778 10.825745565237288 0.996 0 0.004
3.3948402405068387 10.361459351741171 1 0 0
3.9620881047987098 10.332127852951361 0.998 0 0.002
3.88693832103149 10.365273567445549 0.998 0 0.002
3.80623127195002 11.247624823300841 0.993 0 0.007
3.197972138708538 11.16874004941481 0.999 0 0.001
4.014876956156132 9.679134608422203 0.999 0 0.001
2.9574362150520264 9.850606990260484 1 0 0
3.9452945885481947 10.305743227029403 0.998 0 0.002
3.048008609477172 11.940496931313605 0.996 0 0.004
3.504694527720165 10.81508416773064 0.998 0 0.002
3.325702228997499 10.950278588086618 0.999 0 0.001
3.3880626475317834 10.86279199223349 0.999 0 0.001
2.250614638462455 10.600548729103933 1 0 0
5.025660282012426 11.189563986981726 0.878 0 0.122
2.184793364055671 10.457757756792732 1 0 0
3.3508968453410475 11.196086100177576 0.998 0 0.002
2.519444785400836 10.489895577199398 1 0 0
5.741943087002322 9.715453454053355 0.952 0 0.048
3.2254278757139856 10.274975132522483 1 0 0
2.7469094672509833 12.083371241395266 0.998 0 0.002
3.1727011140128907 11.172599835422004 0.999 0 0.001
5.2870040771667774 9.23303213103684 0.994 0 0.006
4.132433256548192 10.092101308119947 0.998 0 0.002
3.4226529789471503 10.913692396117574 0.998 0 0.002
2.815324734546561 10.10361787731827 1 0 0
3.58591468776659 10.816912560413122 0.998 0 0.002
4.752049071295596 10.249552175817467 0.988 0 0.012
3.9485323581908913 10.588200611834235 0.997 0 0.003
4.172149793566957 11.423048298583234 0.975 0 0.025
4.7338318686597916 9.370447082283567 0.998 0 0.002
4.169663992573114 10.541868818826769 0.995 0 0.005
3.801025493439038 11.612582136612014 0.986 0 0.014
4.6109034686868675 9.952112161844086 0.995 0 0.005
4.595912579429886 10.582765949052938 0.984 0 0.016
3.551037299923462 10.764044621374694 0.998 0 0.002
3.2024882387053006 10.367368911381071 1 0 0
4.688922652596044 9.81257761531033 0.996 0 0.004
5.049981224126315 9.674804416597121 0.992 0 0.008
4.735772110545057 10.36655415114992 0.985 0 0.015
3.1942955777801547 10.311516544684943 1 0 0
5.0722801128868245 11.341986879305876 0.831 0 0.169
4.985531474809746 10.17404371384797 0.981 0 0.019
4.450417564518416 11.355497244358801 0.957 0 0.043
3.929744405819811 11.312298401852363 0.989 0 0.011
3.769243111577958 10.18426347994109 0.999 0 0.001
4.468921221311316 9.801960527372476 0.998 0 0.002
4.621837679117737 11.331950126313187 0.938 0 0.062
3.647887181523931 11.966974513807315 0.983 0 0.017
2.4950286214512687 11.272152562665969 1 0 0
3.98558416703902 10.639930568591438 0.996 0 0.004
4.194989079060964 10.007422123908583 0.998 0 0.002
3.845714180345654 9.220441970008716 1 0 0
3.564517991598752 10.848698416423693 0.998 0 0.002
4.3327413049145855 10.273997466490295 0.995 0 0.005
3.7471361087486557 9.530765919934549 1 0 0
2.6729804366539556 10.796620015117803 1 0 0
3.5959129074087093 10.931249834146115 0.998 0 0.002
2.354558679632645 10.428477188617618 1 0 0
2.4516477216594863 10.603966026565047 1 0 0
4.260013657662586 9.639813229602101 0.999 0 0.001
3.3586322459197007 10.142809465623717 1 0 0
3.9845513081840984 11.306238529534264 0.987 0 0.013
2.759865190133076 10.281018878233203 1 0 0
3.2061059567369945 10.612827161247068 1 0 0
1.6881123333404568 9.793136714979148 1 0 0
2.5398159312219173 10.111629703939434 1 0 0
2.960247710303941 10.74948276067077 1 0 0
2.37141813664684 11.863022193755262 0.999 0 0.001
3.6424547469393955 9.842386452108915 1 0 0
2.528824209709075 11.174945847743155 1 0 0
3.424130875997464 9.806739685213007 1 0 0
3.1776075812609594 11.619316699444822 0.997 0 0.003
2.792203155417984 10.741882465556355 1 0 0
2.643018330974657 11.190110232826013 1 0 0
5.138124333536079 8.671140444316963 0.999 0 0.001
4.313372042300188 9.151091174276207 1 0 0
4.192178374975819 9.871158655175325 0.999 0 0.001
2.8345034979312436 10.285635528023768 1 0 0
4.529960483089867 9.527376083878606 0.998 0 0.002
5.1895493572359435 8.864605633458137 0.998 0 0.002
4.344537458038996 10.496038313676891 0.993 0 0.007
3.2997683303983667 10.069866445725465 1 0 0
3.6849407787375634 9.932935113213038 1 0 0
2.878051253497505 10.82589633820029 1 0 0
3.5582533680026804 10.629298082913703 0.999 0 0.001
3.7130541233085443 10.147578251687992 0.999 0 0.001
4.2152208213214575 10.43947666116502 0.995 0 0.005
2.7960235417025743 10.83676428241681 1 0 0
5.220443078442662 10.21595256560505 0.964 0 0.036
3.0519987234127957 10.743352225083317 1 0 0
2.4076009205899798 11.657398340626251 1 0 0
4.504401942290445 9.977291564628384 0.996 0 0.004
4.284605111518373 10.402056430258261 0.995 0 0.005
4.110571483766585 9.522177619235036 0.999 0 0.001
3.3772537893381456 10.997861225139626 0.998 0 0.002
5.0864591761450315 9.081070944761002 0.997 0 0.003
3.211401211107529 10.373590214698922 1 0 0
3.0594272044991575 11.044259628882504 0.999 0 0.001
4.1195917882641915 9.91474718472255 0.999 0 0.001
8.960585145286228 10.77161609169382 0.001 0 0.998
7.900536568308526 11.334703648495841 0.006 0 0.994
9.454384029380652 11.612290377611416 0 0 1
6.379202083040291 11.602438099303239 0.121 0 0.879
7.131293113364638 10.894559413126823 0.07 0 0.93
8.455246056205693 12.28298538384085 0 0 1
8.140431279403646 11.498804054935064 0.003 0 0.997
8.485782707182965 10.868292393719011 0.003 0 0.997
10.37109582519522 9.591418633706475 0 0.206 0.793
8.278518350674297 11.139908483336223 0.003 0 0.997
8.62669631169877 12.309385233526422 0 0 1
9.43143308775385 11.355692059386072 0 0 1
7.784604081803763 10.530923273853436 0.029 0 0.971
